iter	Passed	Remaining
459	789	926
460	790	924
461	791	921
462	792	919
463	793	916
464	796	916
465	797	913
466	798	911
467	799	909
468	801	907
469	802	904
470	803	902
471	804	900
472	805	897
473	806	894
474	807	892
475	808	890
476	809	887
477	811	886
478	815	886
479	816	884
480	817	882
481	818	879
482	819	877
483	820	874
484	822	873
485	822	870
486	823	867
487	824	865
488	826	863
489	830	863
490	832	862
491	833	861
492	835	859
493	836	856
494	837	854
495	839	852
496	841	851
497	845	852
498	846	850
499	848	848
500	849	846
501	851	844
502	852	841
503	853	840
504	854	837
505	856	835
506	857	833
507	858	831
508	859	829
509	860	826
510	861	824
511	863	822
512	866	822
513	870	822
514	871	821
515	872	818
516	873	816
517	874	814
518	875	811
519	876	809
520	878	807
521	879	805
522	880	802
523	882	801
524	883	799
525	884	796
526	885	794
527	885	791
528	886	789
529	888	788
530	889	785
531	895	787
532	897	786
533	897	783
534	898	781
535	902	781
536	903	778
537	904	776
538	905	774
539	905	771
540	907	769
541	908	767
542	909	765
543	910	763
544	912	761
545	913	759
546	914	757
547	916	755
548	919	755
549	921	753
550	922	751
551	924	750
552	925	748
553	927	746
554	928	744
555	930	742
556	931	740
557	932	738
558	933	736
559	934	734
560	936	732
561	937	730
562	938	728
563	939	726
564	941	724
565	942	722
566	944	721
567	946	719
568	948	718
569	949	716
570	952	715
571	954	714
572	955	712
573	956	710
574	958	708
575	960	706
576	961	704
577	962	702
578	963	700
579	964	698
580	966	696
581	967	695
582	969	693
583	970	691
584	973	690
585	976	689
586	976	687
587	978	685
588	979	683
589	982	682
590	983	680
591	984	678
592	987	677
593	988	675
594	990	673
595	991	671
596	992	670
597	993	668
598	994	665
599	995	663
600	999	663
601	1000	661
602	1002	659
603	1003	658
604	1005	656
605	1008	655
606	1010	653
607	1010	651
608	1013	650
609	1013	648
610	1015	646
611	1017	645
612	1020	644
613	1022	643
614	1025	641
615	1026	639
616	1027	637
617	1029	636
618	1031	634
619	1032	632
620	1033	630
621	1034	628
622	1035	626
623	1036	624
624	1038	623
625	1040	621
